colorado HOMEWINOVER hawaii 4 
east-carolina HOMEWINOVER north-carolina 4 
kansas HOMEWINOVER central-mich 4 
louisville AWAYWINOVER fiu 4 
wake-forest HOMEWINOVER army 4 
utah AWAYWINOVER michigan 4 
rutgers AWAYWINOVER navy 4 
north-texas HOMEWINOVER nicholls-st 4 
buffalo HOMEWINOVER norfolk-st 4 
penn-st HOMEWINOVER massachusetts 4 
illinois HOMEWINOVER texas-st 4 
minnesota HOMEWINOVER san-jose-st 4 
wyoming HOMEWINOVER fla-atlantic 4 
washington HOMEWINOVER georgia-st 4 
north-carolina-st HOMEWINOVER presbyterian 4 
ucf HOMEWINOVER bethune-cookman 4 
arkansas HOMEWINOVER northern-ill 4 
memphis HOMEWINOVER middle-tenn 4 
southern-miss HOMEWINOVER appalachian-st 4 
northwestern-st AWAYWINOVER louisiana-tech 4 
western-mich HOMEWINOVER murray-st 4 
cincinnati HOMEWINOVER miami-oh 4 
arkansas-st HOMEWINOVER utah-st 4 
ohio HOMEWINOVER idaho 4 
toledo HOMEWINOVER ball-st 4 
ga-southern AWAYWINOVER south-ala 4 
new-mexico AWAYWINOVER new-mexico-st 4 
houston HOMEWINOVER unlv 4 
arizona HOMEWINOVER california 4 
fresno-st HOMEWINOVER southern-utah 4 
oregon-st HOMEWINOVER san-diego-st 4 
boise-st HOMEWINOVER la-lafayette 4 
ucla AWAYWINOVER arizona-st 5 
oklahoma-st HOMEWINOVER texas-tech 5 
ga-southern HOMEWINOVER appalachian-st 5 
middle-tenn AWAYWINOVER old-dominion 5 
fresno-st AWAYWINOVER new-mexico 5 
florida-st AWAYWINOVER north-carolina-st 5 
auburn HOMEWINOVER louisiana-tech 5 
texas-am HOMEWINOVER arkansas 5 
baylor AWAYWINOVER iowa-st 5 
notre-dame AWAYWINOVER syracuse 5 
michigan-st HOMEWINOVER wyoming 5 
ole-miss HOMEWINOVER memphis 5 
georgia HOMEWINOVER tennessee 5 
missouri AWAYWINOVER south-carolina 5 
stanford AWAYWINOVER washington 5 
lsu HOMEWINOVER new-mexico-st 5 
southern-california HOMEWINOVER oregon-st 5 
wisconsin HOMEWINOVER south-fla 5 
nebraska HOMEWINOVER illinois 5 
ohio-st HOMEWINOVER cincinnati 5 
kansas-st HOMEWINOVER utep 5 
rutgers HOMEWINOVER tulane 5 
kentucky HOMEWINOVER vanderbilt 5 
tcu AWAYWINOVER smu 5 
iowa AWAYWINOVER purdue 5 
northwestern AWAYWINOVER penn-st 5 
virginia-tech HOMEWINOVER western-mich 5 
colorado-st AWAYWINOVER boston-college 5 
yale HOMEWINOVER army 5 
maryland AWAYWINOVER indiana 5 
akron AWAYWINOVER pittsburgh 5 
ohio HOMEWINOVER eastern-ill 5 
bowling-green AWAYWINOVER massachusetts 5 
virginia HOMEWINOVER kent-st 5 
louisville HOMEWINOVER wake-forest 5 
western-ky AWAYWINOVER navy 5 
minnesota AWAYWINOVER michigan 5 
fiu AWAYWINOVER uab 5 
buffalo HOMEWINOVER miami-oh 5 
california HOMEWINOVER colorado 5 
temple AWAYWINOVER uconn 5 
texas AWAYWINOVER kansas 5 
fla-atlantic HOMEWINOVER utsa 5 
south-ala AWAYWINOVER idaho 5 
clemson HOMEWINOVER north-carolina 5 
rice AWAYWINOVER southern-miss 5 
air-force HOMEWINOVER boise-st 5 
toledo HOMEWINOVER central-mich 5 
la-monroe HOMEWINOVER troy 5 
miami-fl HOMEWINOVER duke 5 
washington-st AWAYWINOVER utah 5 
san-diego-st HOMEWINOVER unlv 5 
texas-st AWAYWINOVER tulsa 5 
nevada AWAYWINOVER san-jose-st 5 
arizona AWAYWINOVER oregon 6 
fiu HOMEWINOVER fla-atlantic 6 
ucf AWAYWINOVER houston 6 
utah-st AWAYWINOVER byu 6 
louisville AWAYWINOVER syracuse 6 
fresno-st HOMEWINOVER san-diego-st 6 
florida-st HOMEWINOVER wake-forest 6 
ole-miss HOMEWINOVER alabama 6 
tcu HOMEWINOVER oklahoma 6 
auburn HOMEWINOVER lsu 6 
mississippi-st HOMEWINOVER texas-am 6 
baylor AWAYWINOVER texas 6 
utah AWAYWINOVER ucla 6 
notre-dame HOMEWINOVER stanford 6 
michigan-st HOMEWINOVER nebraska 6 
georgia HOMEWINOVER vanderbilt 6 
arizona-st AWAYWINOVER southern-california 6 
northwestern HOMEWINOVER wisconsin 6 
ohio-st AWAYWINOVER maryland 6 
oklahoma-st HOMEWINOVER iowa-st 6 
east-carolina HOMEWINOVER smu 6 
kansas-st HOMEWINOVER texas-tech 6 
purdue AWAYWINOVER illinois 6 
army HOMEWINOVER ball-st 6 
florida AWAYWINOVER tennessee 6 
marshall AWAYWINOVER old-dominion 6 
middle-tenn HOMEWINOVER southern-miss 6 
virginia-tech AWAYWINOVER north-carolina 6 
akron HOMEWINOVER eastern-mich 6 
indiana HOMEWINOVER north-texas 6 
miami-oh HOMEWINOVER massachusetts 6 
colorado-st HOMEWINOVER tulsa 6 
clemson HOMEWINOVER north-carolina-st 6 
air-force HOMEWINOVER navy 6 
new-mexico AWAYWINOVER utsa 6 
central-mich HOMEWINOVER ohio 6 
bowling-green HOMEWINOVER buffalo 6 
oregon-st AWAYWINOVER colorado 6 
west-virginia HOMEWINOVER kansas 6 
northern-ill HOMEWINOVER kent-st 6 
south-ala AWAYWINOVER appalachian-st 6 
rutgers HOMEWINOVER michigan 6 
uab AWAYWINOVER western-ky 6 
louisiana-tech HOMEWINOVER utep 6 
rice HOMEWINOVER hawaii 6 
toledo AWAYWINOVER western-mich 6 
texas-st HOMEWINOVER idaho 6 
arkansas-st HOMEWINOVER la-monroe 6 
la-lafayette HOMEWINOVER georgia-st 6 
memphis AWAYWINOVER cincinnati 6 
georgia-tech HOMEWINOVER miami-fl 6 
kentucky HOMEWINOVER south-carolina 6 
virginia HOMEWINOVER pittsburgh 6 
san-jose-st HOMEWINOVER unlv 6 
ga-southern AWAYWINOVER new-mexico-st 6 
california AWAYWINOVER washington-st 6 
boise-st AWAYWINOVER nevada 6 
ucf HOMEWINOVER byu 7 
stanford HOMEWINOVER washington-st 7 
san-diego-st AWAYWINOVER new-mexico 7 
unlv HOMEWINOVER fresno-st 7 
florida-st AWAYWINOVER syracuse 7 
mississippi-st HOMEWINOVER auburn 7 
ole-miss AWAYWINOVER texas-am 7 
baylor HOMEWINOVER tcu 7 
notre-dame HOMEWINOVER north-carolina 7 
alabama AWAYWINOVER arkansas 7 
michigan-st AWAYWINOVER purdue 7 
southern-california AWAYWINOVER arizona 7 
oklahoma HOMEWINOVER texas 7 
oregon AWAYWINOVER ucla 7 
georgia AWAYWINOVER missouri 7 
oklahoma-st AWAYWINOVER kansas 7 
east-carolina AWAYWINOVER south-fla 7 
duke AWAYWINOVER georgia-tech 7 
hawaii HOMEWINOVER wyoming 7 
miami-fl HOMEWINOVER cincinnati 7 
west-virginia AWAYWINOVER texas-tech 7 
wisconsin HOMEWINOVER illinois 7 
rice AWAYWINOVER army 7 
kentucky HOMEWINOVER la-monroe 7 
iowa HOMEWINOVER indiana 7 
minnesota HOMEWINOVER northwestern 7 
marshall HOMEWINOVER middle-tenn 7 
temple HOMEWINOVER tulsa 7 
eastern-mich HOMEWINOVER buffalo 7 
akron HOMEWINOVER miami-oh 7 
bowling-green AWAYWINOVER ohio 7 
